Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss Category,Loss per User ($),Period,Severity Score
Australia,2023,Phishing,Telecommunications,24.65,221512,Nation-state,Zero-day,AI-based Detection,56,Low,111.28,2020 & After,0.237
France,2017,Phishing,Banking,17.88,16585,Hacker Group,Unpatched Software,Encryption,12,Low,1078.08,Before 2020,0.114
USA,2022,Ransomware,Education,21.01,787752,Nation-state,Weak Passwords,Antivirus,9,Low,26.67,2020 & After,0.441
Russia,2022,SQL Injection,Banking,60.25,662517,Unknown,Social Engineering,Firewall,40,Medium,90.94,2020 & After,0.627
Brazil,2018,Malware,Education,6.63,274509,Hacker Group,Zero-day,Encryption,20,Low,24.15,Before 2020,0.15
France,2024,Phishing,Government,5.8,508649,Hacker Group,Unpatched Software,Firewall,66,Low,11.4,2020 & After,0.238
Brazil,2021,DDoS,IT,70.26,740257,Unknown,Weak Passwords,Encryption,70,Medium,94.91,2020 & After,0.718
Australia,2024,Malware,Healthcare,62.08,969504,Hacker Group,Social Engineering,AI-based Detection,5,Medium,64.03,2020 & After,0.76
Germany,2016,Man-in-the-Middle,Healthcare,90.2,779494,Nation-state,Social Engineering,AI-based Detection,54,High,115.72,Before 2020,0.853
Japan,2019,Malware,Banking,44.17,605166,Insider,Weak Passwords,Encryption,27,Medium,72.99,Before 2020,0.507
France,2023,Malware,Government,55.18,274946,Insider,Zero-day,Encryption,66,Medium,200.69,2020 & After,0.441
Japan,2019,Man-in-the-Middle,Banking,41.32,645097,Nation-state,Zero-day,Firewall,36,Medium,64.05,Before 2020,0.506
UK,2015,DDoS,Telecommunications,32.92,157678,Nation-state,Unpatched Software,Antivirus,68,Low,208.78,Before 2020,0.261
Brazil,2022,DDoS,Retail,15.16,157034,Nation-state,Social Engineering,AI-based Detection,69,Low,96.54,2020 & After,0.154
India,2020,SQL Injection,Education,62.5,550656,Nation-state,Weak Passwords,Encryption,4,Medium,113.5,2020 & After,0.595
Australia,2017,SQL Injection,Healthcare,68.91,634048,Hacker Group,Unpatched Software,Firewall,66,Medium,108.68,Before 2020,0.667
UK,2023,DDoS,Banking,81.26,547495,Nation-state,Weak Passwords,AI-based Detection,3,High,148.42,2020 & After,0.707
UK,2024,DDoS,Healthcare,58.31,487694,Hacker Group,Weak Passwords,Antivirus,41,Medium,119.56,2020 & After,0.545
France,2023,Man-in-the-Middle,Retail,88.65,427067,Hacker Group,Unpatched Software,Antivirus,42,High,207.58,2020 & After,0.703
Australia,2023,Malware,Telecommunications,1.51,954902,Hacker Group,Unpatched Software,AI-based Detection,55,Low,1.58,2020 & After,0.391
UK,2020,Ransomware,Banking,49.23,128594,Nation-state,Weak Passwords,Firewall,53,Medium,382.83,2020 & After,0.347
Germany,2024,Phishing,Healthcare,84.53,189430,Nation-state,Social Engineering,Firewall,1,High,446.23,2020 & After,0.583
France,2021,DDoS,Healthcare,90.63,603327,Nation-state,Unpatched Software,AI-based Detection,15,High,150.22,2020 & After,0.785
UK,2021,DDoS,Education,80.26,276593,Nation-state,Social Engineering,Encryption,36,High,290.17,2020 & After,0.592
Japan,2023,Malware,Education,22.87,975282,Insider,Unpatched Software,Firewall,49,Low,23.45,2020 & After,0.527
India,2018,Ransomware,Retail,23.79,486810,Hacker Group,Unpatched Software,Antivirus,11,Low,48.87,Before 2020,0.338
Japan,2021,Ransomware,IT,35.43,969517,Hacker Group,Weak Passwords,Firewall,25,Low,36.54,2020 & After,0.601
Australia,2022,Malware,Banking,74.77,151599,Insider,Zero-day,Encryption,18,Medium,493.21,2020 & After,0.509
Japan,2022,SQL Injection,IT,66.66,749545,Unknown,Social Engineering,AI-based Detection,30,Medium,88.93,2020 & After,0.7
Brazil,2015,Malware,Retail,78.13,71743,Hacker Group,Unpatched Software,VPN,35,Medium,1089.03,Before 2020,0.498
Germany,2018,Phishing,Banking,11.39,969684,Hacker Group,Weak Passwords,Antivirus,41,Low,11.75,Before 2020,0.456
Germany,2020,SQL Injection,Education,87.84,842506,Unknown,Weak Passwords,Antivirus,19,High,104.26,2020 & After,0.864
Brazil,2023,Man-in-the-Middle,IT,10.18,933883,Nation-state,Social Engineering,Encryption,41,Low,10.9,2020 & After,0.435
UK,2019,Malware,Education,4.42,393748,Nation-state,Unpatched Software,AI-based Detection,10,Low,11.23,Before 2020,0.184
Brazil,2020,DDoS,Banking,76.98,708549,Unknown,Weak Passwords,Encryption,37,Medium,108.64,2020 & After,0.745
Japan,2020,DDoS,Healthcare,73.24,136762,Unknown,Zero-day,VPN,41,Medium,535.53,2020 & After,0.494
Russia,2018,Malware,Telecommunications,8.11,737958,Unknown,Social Engineering,VPN,35,Low,10.99,Before 2020,0.344
Japan,2020,Man-in-the-Middle,Banking,23.55,108886,Insider,Unpatched Software,Antivirus,51,Low,216.28,2020 & After,0.185
Australia,2016,Phishing,Banking,92.79,285311,Nation-state,Unpatched Software,VPN,55,High,325.22,Before 2020,0.671
USA,2021,Malware,Retail,71.11,961868,Hacker Group,Unpatched Software,Antivirus,57,Medium,73.93,2020 & After,0.812
Australia,2023,Man-in-the-Middle,Banking,57.34,471743,Unknown,Zero-day,Firewall,29,Medium,121.55,2020 & After,0.533
UK,2024,Phishing,Government,81.26,993903,Unknown,Weak Passwords,Firewall,25,High,81.76,2020 & After,0.885
China,2024,Ransomware,Telecommunications,7.32,179156,Nation-state,Social Engineering,AI-based Detection,34,Low,40.86,2020 & After,0.116
Germany,2022,Man-in-the-Middle,Healthcare,56.27,699129,Nation-state,Unpatched Software,Encryption,25,Medium,80.49,2020 & After,0.617
Russia,2021,Malware,IT,83.76,920983,Insider,Social Engineering,Encryption,24,High,90.95,2020 & After,0.871
UK,2023,SQL Injection,Banking,85.64,875790,Nation-state,Unpatched Software,Firewall,36,High,97.79,2020 & After,0.864
Russia,2016,Malware,Retail,61.39,415274,Hacker Group,Weak Passwords,Encryption,40,Medium,147.83,Before 2020,0.535
Russia,2023,Ransomware,Banking,42.14,222293,Hacker Group,Social Engineering,VPN,38,Medium,189.57,2020 & After,0.342
France,2021,Man-in-the-Middle,Retail,94.4,357092,Unknown,Unpatched Software,VPN,71,High,264.36,2020 & After,0.709
Australia,2021,Malware,Telecommunications,84.68,708291,Hacker Group,Zero-day,AI-based Detection,54,High,119.56,2020 & After,0.792
Russia,2024,Malware,Banking,93.33,517610,Nation-state,Social Engineering,Firewall,35,High,180.31,2020 & After,0.767
Germany,2023,Malware,Government,70.46,368803,Hacker Group,Unpatched Software,VPN,23,Medium,191.05,2020 & After,0.57
China,2023,Man-in-the-Middle,Healthcare,48.71,421191,Nation-state,Unpatched Software,Firewall,62,Medium,115.65,2020 & After,0.461
India,2018,Phishing,IT,69.03,282139,Hacker Group,Unpatched Software,Encryption,37,Medium,244.67,Before 2020,0.527
China,2018,Malware,IT,49.19,117543,Insider,Social Engineering,Encryption,22,Medium,418.49,Before 2020,0.342
France,2016,Phishing,Government,27.2,536925,Unknown,Zero-day,Encryption,62,Low,50.66,Before 2020,0.378
France,2023,Ransomware,Retail,64.08,238068,Unknown,Unpatched Software,VPN,61,Medium,269.17,2020 & After,0.48
Japan,2022,Malware,Telecommunications,38.46,39814,Insider,Social Engineering,VPN,32,Low,965.99,2020 & After,0.247
India,2018,DDoS,Government,80.89,268956,Nation-state,Zero-day,Antivirus,47,High,300.76,Before 2020,0.593
France,2015,Malware,Education,15.76,424,Nation-state,Unpatched Software,Antivirus,58,Low,37169.81,Before 2020,0.095
USA,2021,SQL Injection,Telecommunications,82.24,982969,Unknown,Unpatched Software,Encryption,64,High,83.66,2020 & After,0.887
Germany,2021,Malware,Government,82.72,219703,Nation-state,Social Engineering,Firewall,33,High,376.51,2020 & After,0.584
Japan,2016,Man-in-the-Middle,Retail,18.96,530947,Nation-state,Unpatched Software,VPN,12,Low,35.71,Before 2020,0.326
UK,2017,SQL Injection,IT,53.39,576110,Insider,Unpatched Software,Antivirus,37,Medium,92.67,Before 2020,0.551
UK,2017,Man-in-the-Middle,Government,48.9,177154,Unknown,Zero-day,Antivirus,68,Medium,276.03,Before 2020,0.364
France,2017,SQL Injection,Healthcare,60.77,212177,Hacker Group,Social Engineering,Encryption,2,Medium,286.41,Before 2020,0.45
Germany,2021,DDoS,Banking,91.24,8787,Hacker Group,Unpatched Software,Encryption,55,High,10383.52,2020 & After,0.551
USA,2015,Phishing,Education,41.36,291727,Insider,Social Engineering,Encryption,31,Medium,141.78,Before 2020,0.365
Germany,2022,DDoS,IT,78.18,987652,Hacker Group,Social Engineering,VPN,72,Medium,79.16,2020 & After,0.864
China,2022,Ransomware,Telecommunications,16.16,236284,Unknown,Social Engineering,Antivirus,38,Low,68.39,2020 & After,0.192
USA,2020,Man-in-the-Middle,Telecommunications,15.63,209853,Nation-state,Zero-day,VPN,1,Low,74.48,2020 & After,0.178
Australia,2020,DDoS,Retail,36.29,755621,Unknown,Zero-day,Antivirus,50,Low,48.03,2020 & After,0.52
France,2015,SQL Injection,Retail,61.41,694844,Insider,Unpatched Software,Antivirus,43,Medium,88.38,Before 2020,0.647
France,2018,SQL Injection,Retail,53.72,795831,Nation-state,Unpatched Software,Encryption,61,Medium,67.5,Before 2020,0.641
Brazil,2020,DDoS,Retail,17.4,342253,Unknown,Weak Passwords,Encryption,22,Low,50.84,2020 & After,0.241
USA,2016,Phishing,Retail,75.94,638693,Nation-state,Weak Passwords,AI-based Detection,35,Medium,118.9,Before 2020,0.711
USA,2018,Phishing,Banking,55.9,618616,Insider,Zero-day,VPN,51,Medium,90.36,Before 2020,0.583
Brazil,2023,SQL Injection,Retail,56.76,774426,Hacker Group,Social Engineering,AI-based Detection,21,Medium,73.29,2020 & After,0.65
Australia,2023,DDoS,Government,76.25,900661,Insider,Unpatched Software,Encryption,64,Medium,84.66,2020 & After,0.818
India,2019,Phishing,Telecommunications,75.23,141627,Insider,Unpatched Software,AI-based Detection,64,Medium,531.18,Before 2020,0.508
Germany,2024,Phishing,IT,3.93,845785,Unknown,Unpatched Software,VPN,69,Low,4.65,2020 & After,0.362
Australia,2015,Malware,Retail,99.41,120048,Insider,Zero-day,Antivirus,12,High,828.09,Before 2020,0.645
USA,2016,Malware,Retail,32.89,894935,Unknown,Social Engineering,AI-based Detection,31,Low,36.75,Before 2020,0.555
Japan,2017,SQL Injection,Healthcare,21.66,277555,Unknown,Social Engineering,AI-based Detection,45,Low,78.04,Before 2020,0.241
Australia,2024,Ransomware,Education,85.86,461012,Insider,Unpatched Software,AI-based Detection,38,High,186.24,2020 & After,0.7
Russia,2021,SQL Injection,Telecommunications,80.23,599291,Nation-state,Social Engineering,Firewall,55,High,133.87,2020 & After,0.721
Australia,2016,Man-in-the-Middle,Government,31.92,163602,Hacker Group,Unpatched Software,VPN,26,Low,195.11,Before 2020,0.257
UK,2021,SQL Injection,Government,39.03,986196,Nation-state,Weak Passwords,Encryption,11,Low,39.58,2020 & After,0.629
France,2024,Ransomware,Retail,99.03,349008,Nation-state,Zero-day,Encryption,20,High,283.75,2020 & After,0.734
Germany,2022,SQL Injection,Retail,25.1,559667,Unknown,Zero-day,Antivirus,69,Low,44.85,2020 & After,0.375
Russia,2018,DDoS,Healthcare,67.27,335628,Hacker Group,Weak Passwords,Antivirus,20,Medium,200.43,Before 2020,0.538
Germany,2016,Ransomware,Education,29.89,385363,Unknown,Unpatched Software,Firewall,22,Low,77.56,Before 2020,0.334
USA,2021,Man-in-the-Middle,Education,15.92,945793,Insider,Zero-day,Firewall,32,Low,16.83,2020 & After,0.474
Russia,2016,SQL Injection,Telecommunications,95.93,595950,Nation-state,Social Engineering,AI-based Detection,11,High,160.97,Before 2020,0.814
Japan,2022,DDoS,Education,12.61,756722,Nation-state,Weak Passwords,VPN,15,Low,16.66,2020 & After,0.378
Australia,2024,Ransomware,Government,39.92,594424,Hacker Group,Social Engineering,Antivirus,54,Low,67.16,2020 & After,0.477
China,2015,Malware,Retail,19.36,457790,Hacker Group,Zero-day,Encryption,39,Low,42.29,Before 2020,0.299
China,2024,Ransomware,Telecommunications,70.47,549337,Unknown,Social Engineering,Antivirus,63,Medium,128.28,2020 & After,0.643
France,2023,Malware,Healthcare,53.34,714681,Unknown,Unpatched Software,Firewall,34,Medium,74.63,2020 & After,0.606
India,2022,Malware,Government,84.15,849745,Hacker Group,Social Engineering,Antivirus,51,High,99.03,2020 & After,0.845
Brazil,2019,SQL Injection,Banking,27.64,826256,Nation-state,Zero-day,VPN,50,Low,33.45,Before 2020,0.496
UK,2017,DDoS,IT,9.01,617543,Unknown,Zero-day,Antivirus,43,Low,14.59,Before 2020,0.301
USA,2017,SQL Injection,Banking,9.08,895507,Unknown,Social Engineering,AI-based Detection,52,Low,10.14,Before 2020,0.413
UK,2020,SQL Injection,Healthcare,67.9,2233,Unknown,Social Engineering,Antivirus,45,Medium,30407.52,2020 & After,0.408
Japan,2022,Phishing,Government,71.12,76776,Unknown,Unpatched Software,Firewall,42,Medium,926.33,2020 & After,0.457
China,2019,Ransomware,Retail,6.08,175261,Nation-state,Zero-day,VPN,64,Low,34.69,Before 2020,0.107
Australia,2016,Man-in-the-Middle,Healthcare,90.85,746369,Insider,Unpatched Software,Antivirus,30,High,121.72,Before 2020,0.844
Australia,2017,Malware,Healthcare,77.32,563706,Nation-state,Unpatched Software,AI-based Detection,35,Medium,137.16,Before 2020,0.69
India,2022,DDoS,Healthcare,12.01,254980,Insider,Unpatched Software,AI-based Detection,58,Low,47.1,2020 & After,0.174
Russia,2021,Malware,Education,0.54,869574,Unknown,Unpatched Software,Antivirus,16,Low,0.62,2020 & After,0.351
Russia,2015,Malware,IT,95.33,282598,Unknown,Zero-day,VPN,21,High,337.33,Before 2020,0.685
Brazil,2023,Malware,Telecommunications,62.77,422623,Nation-state,Zero-day,AI-based Detection,55,Medium,148.52,2020 & After,0.546
Brazil,2021,Malware,Healthcare,83.06,937717,Unknown,Unpatched Software,Encryption,56,High,88.58,2020 & After,0.874
India,2021,Man-in-the-Middle,Telecommunications,71.64,416077,Insider,Social Engineering,VPN,39,Medium,172.18,2020 & After,0.596
Australia,2019,Man-in-the-Middle,Banking,47.67,112313,Insider,Social Engineering,Firewall,63,Medium,424.44,Before 2020,0.331
Australia,2017,Man-in-the-Middle,Telecommunications,79.72,799971,Insider,Zero-day,Firewall,63,Medium,99.65,Before 2020,0.798
Japan,2018,Man-in-the-Middle,Retail,47.11,690595,Hacker Group,Social Engineering,Antivirus,71,Medium,68.22,Before 2020,0.559
India,2017,Man-in-the-Middle,Government,69.69,713419,Hacker Group,Unpatched Software,AI-based Detection,70,Medium,97.68,Before 2020,0.704
Australia,2022,Man-in-the-Middle,Healthcare,81.31,707365,Hacker Group,Zero-day,Antivirus,38,High,114.95,2020 & After,0.771
Brazil,2016,Malware,Healthcare,83.88,155059,Unknown,Unpatched Software,Antivirus,29,High,540.96,Before 2020,0.565
Russia,2022,Phishing,Banking,85.01,923558,Insider,Weak Passwords,Encryption,41,High,92.05,2020 & After,0.88
Germany,2022,DDoS,Telecommunications,20.55,239313,Nation-state,Social Engineering,AI-based Detection,6,Low,85.87,2020 & After,0.219
Russia,2023,Ransomware,Telecommunications,60.08,874485,Hacker Group,Weak Passwords,Antivirus,48,Medium,68.7,2020 & After,0.71
Russia,2016,SQL Injection,Healthcare,46.95,90895,Unknown,Social Engineering,VPN,29,Medium,516.53,Before 2020,0.318
China,2015,Man-in-the-Middle,Retail,47.2,529593,Hacker Group,Zero-day,VPN,64,Medium,89.13,Before 2020,0.495
Germany,2018,Phishing,Government,46.92,610201,Nation-state,Weak Passwords,VPN,72,Medium,76.89,Before 2020,0.526
USA,2021,DDoS,Telecommunications,1.98,863623,Hacker Group,Weak Passwords,Firewall,24,Low,2.29,2020 & After,0.357
USA,2018,Malware,Healthcare,14.28,755771,Insider,Weak Passwords,Antivirus,44,Low,18.89,Before 2020,0.388
Japan,2021,SQL Injection,Telecommunications,66.23,164032,Unknown,Social Engineering,Firewall,5,Medium,403.76,2020 & After,0.463
Russia,2019,Man-in-the-Middle,Telecommunications,95.66,259993,Nation-state,Weak Passwords,Antivirus,58,High,367.93,Before 2020,0.678
UK,2019,Phishing,Retail,90.13,232359,Unknown,Social Engineering,Firewall,17,High,387.89,Before 2020,0.634
Germany,2018,Phishing,Telecommunications,84.9,800031,Unknown,Unpatched Software,Encryption,10,High,106.12,Before 2020,0.83
UK,2016,Phishing,Healthcare,71.19,925040,Unknown,Unpatched Software,Encryption,48,Medium,76.96,Before 2020,0.797
Brazil,2016,Malware,IT,99.29,273469,Insider,Social Engineering,AI-based Detection,67,High,363.08,Before 2020,0.705
Germany,2024,Malware,Banking,22.84,797768,Insider,Zero-day,Firewall,58,Low,28.63,2020 & After,0.456
Japan,2022,DDoS,Education,82.19,905203,Hacker Group,Weak Passwords,Antivirus,37,High,90.8,2020 & After,0.855
India,2023,Phishing,Telecommunications,11.72,512291,Insider,Zero-day,AI-based Detection,51,Low,22.88,2020 & After,0.275
UK,2017,Phishing,Telecommunications,27.08,416833,Insider,Social Engineering,VPN,9,Low,64.97,Before 2020,0.329
UK,2015,Ransomware,Government,30.74,744505,Nation-state,Unpatched Software,Antivirus,43,Low,41.29,Before 2020,0.482
Brazil,2020,Malware,Banking,79.61,755029,Nation-state,Weak Passwords,Firewall,27,Medium,105.44,2020 & After,0.78
Brazil,2017,Malware,Banking,99.22,660182,Insider,Weak Passwords,AI-based Detection,21,High,150.29,Before 2020,0.86
India,2016,Ransomware,Retail,29.48,403737,Insider,Zero-day,Firewall,26,Low,73.02,Before 2020,0.338
China,2019,DDoS,Retail,7.87,86783,Nation-state,Weak Passwords,Antivirus,12,Low,90.69,Before 2020,0.082
Australia,2022,DDoS,Telecommunications,86.77,390083,Nation-state,Social Engineering,VPN,72,High,222.44,2020 & After,0.677
Brazil,2023,Man-in-the-Middle,Banking,20.15,376174,Unknown,Social Engineering,Firewall,43,Low,53.57,2020 & After,0.271
UK,2022,Ransomware,Government,31.94,485080,Insider,Weak Passwords,Antivirus,61,Low,65.84,2020 & After,0.386
France,2024,Ransomware,Banking,78.82,759804,Unknown,Unpatched Software,AI-based Detection,47,Medium,103.74,2020 & After,0.777
Japan,2017,Phishing,IT,65.62,286208,Hacker Group,Zero-day,Firewall,57,Medium,229.27,Before 2020,0.508
USA,2017,Malware,IT,75.53,992377,Nation-state,Unpatched Software,Antivirus,33,Medium,76.11,Before 2020,0.85
